Risk_ID,Risk_Category,Risk_Description,Probability_1_to_5,Impact_1_to_5,Risk_Score,Severity,Affected_Workloads,Migration_Wave,Mitigation,Contingency,Owner,Status,Residual_Risk,Notes
RISK-001,Disaster Recovery,ERP database has no recently tested disaster recovery process,4,5,20,Critical,DB01;ContosoERP,3,Perform full restore test and validate failover/failback before migration,Delay ERP migration and retain source environment,Database Team,Open,Medium,Production migration blocked until resolved
RISK-002,Identity,Legacy authentication protocols may fail in target architecture,4,5,20,Critical,ContosoPortal;ContosoERP;ContosoAPI,2-4,Inventory NTLM LDAP and Kerberos dependencies and modernize authentication,Maintain hybrid AD connectivity and rollback to source,Identity Team,Open,Medium,Identity must be tested before cutover
RISK-003,Secrets,Application credentials are not centrally managed,4,5,20,Critical,APP01;APP02;API01;DB01,2-3,Move secrets to Azure Key Vault and rotate credentials,Restore prior credentials from secure recovery process,Security Team,Open,Low,No plaintext secrets should enter repositories or pipelines
RISK-004,Privileged Access,Persistent administrative privileges increase migration security exposure,4,5,20,Critical,All Systems,1-4,Implement MFA PIM JIT and least privilege,Disable compromised privileged accounts and use emergency access process,Identity Team,Open,Medium,Administrative access is a migration gate
RISK-005,Network,Firewall or routing errors may break cross-tier dependencies,4,4,16,High,WEB01;APP01;DB01;API01,2-3,Validate network flow matrix routing DNS NSGs and firewall rules,Restore previous routes and DNS paths,Network Team,Open,Low,Dependency testing required before every wave
RISK-006,DNS,Hybrid DNS failure could make applications unreachable,4,5,20,Critical,All Production Workloads,1-4,Implement and test hybrid DNS resolution before migration,Revert DNS changes and direct clients to source endpoints,Network and Identity Teams,Open,Medium,DNS is a shared dependency
RISK-007,Backup,Some critical workloads have outdated restore tests,4,5,20,Critical,APP01;APP02;DB01;BACKUP01,3,Perform restore validation and document recovery times,Cancel cutover if backup validation fails,Backup Team,Open,Low,Backup success alone is not sufficient
RISK-008,Rollback,Rollback procedures have not been tested,5,5,25,Critical,All Production Workloads,All,Create rollback runbooks and conduct rehearsal before cutover,Abort production migration until rollback test passes,Migration Team,Open,Medium,Highest priority migration control
RISK-009,Monitoring,Target-state monitoring may not detect migration failures quickly,3,4,12,High,All Workloads,1-4,Deploy Azure Monitor Log Analytics alerts and dashboards before pilot,Use source monitoring platform until target monitoring is verified,Operations Team,Open,Low,Monitoring must precede production cutover
RISK-010,Application Compatibility,Custom application behavior may differ after migration,3,5,15,High,ContosoERP;ContosoPortal;ContosoAPI,2-3,Perform functional performance and integration testing,Rollback affected application to source,Application Team,Open,Medium,Application owners must provide signoff
RISK-011,Database Performance,Database target may not meet current performance requirements,3,5,15,High,ContosoERPDB;ContosoPortalDB;ContosoAPIDB,2-3,Capture baseline metrics and perform load testing on target,Resize target or return database workload to source,Database Team,Open,Medium,Measure latency IOPS CPU and query performance
RISK-012,Hybrid Connectivity,VPN bandwidth or latency may be insufficient during coexistence,3,5,15,High,Hybrid Environment,1-4,Perform bandwidth latency packet loss and throughput testing,Schedule migrations during low usage or upgrade connectivity,Network Team,Open,Medium,Hybrid period may last multiple waves
RISK-013,Certificates,Expired or incorrect certificates may cause application failure,3,4,12,High,WEB01;WEB02;APP01;API01,2-3,Create certificate inventory validate expiry chains bindings and DNS names,Restore previous certificates and endpoints,Infrastructure Team,Open,Low,Certificate validation required during pre-check
RISK-014,Service Accounts,Legacy service accounts may have undocumented permissions,4,4,16,High,APP01;APP02;MON01;BACKUP01,1-3,Inventory permissions rotate credentials and reduce privileges,Re-enable documented source service account during rollback,Identity Team,Open,Medium,Prefer managed identities where supported
RISK-015,Security Posture,New Azure resources may be deployed without baseline controls,3,5,15,High,Azure Target Environment,1-4,Enable Defender for Cloud Azure Policy RBAC logging and tagging before workload deployment,Stop deployment pipeline until security baseline passes,Security Team,Open,Low,Landing zone security must precede migration
RISK-016,Compliance,Target architecture may not preserve regulatory controls,3,5,15,High,Regulated Data and Applications,2-4,Map current controls to Azure Policy Purview logging encryption and retention,Keep regulated workload on source until compliance validation completes,Compliance Team,Open,Low,Requires compliance owner approval
RISK-017,Edge Connectivity,Factory edge workload may lose Azure connectivity,3,5,15,High,EDGE01;FactoryEdge,2,Preserve offline processing and test disconnected operation,Keep workload running locally on Azure Local,Manufacturing IT,Open,Low,Latency sensitive workload should remain local
RISK-018,Data Integrity,Application or database writes could diverge during cutover,3,5,15,High,ContosoERP;ContosoPortal;ContosoAPI,2-3,Define synchronization freeze and reconciliation procedures,Rollback using validated recovery point and transaction reconciliation,Database and Application Teams,Open,Medium,Explicit data consistency checks required
RISK-019,Change Management,Unapproved changes could disrupt migration schedule,3,4,12,High,All Systems,All,Implement change freeze CAB approval and migration calendar,Reschedule affected wave,Project Manager,Open,Low,Coordinate production changes with migration windows
RISK-020,Skills and Operations,Operations team may not be ready to support target platform,3,4,12,High,Azure;Azure Local;Azure Arc,3-4,Provide runbooks training dashboards escalation paths and operational handoff,Extend hypercare period and retain migration engineering support,Operations Manager,Open,Low,Operational readiness required before project closure
