Identity_ID,Identity_Service,Platform,Type,Environment,Primary_Servers_or_Service,Authentication_Method,MFA,Conditional_Access,RBAC,Privileged_Access,Service_Accounts,Legacy_Authentication,Dependencies,Business_Criticality,Security_Risk,Migration_Readiness,Proposed_Target,Migration_Wave,Notes
ID-001,Active Directory,Azure Stack Hub,Directory Service,Production,AD01;AD02,Kerberos;LDAP;NTLM,No,Not Applicable,Domain Groups,Domain Admins,Multiple,Yes,DNS;Applications,Critical,High,Partial,Azure Local + Microsoft Entra ID,4,Core identity service with legacy authentication dependencies
ID-002,Microsoft Entra ID,Azure,Cloud Identity,Production,Microsoft Entra ID,OAuth2;OpenID Connect;SAML,Yes,Yes,Azure RBAC,Privileged Identity Management,Limited,No,Azure Services,Critical,Medium,Ready,Microsoft Entra ID,1,Target cloud identity control plane
ID-003,Contoso Service Accounts,Azure Stack Hub,Service Accounts,Production,AD01;AD02,Username/Password,No,No,Application-Specific,Privileged Service Accounts,Many,Yes,APP01;APP02;DB01;API01,High,High,Not Ready,Managed Identities / gMSA,3,Requires credential modernization and rotation
ID-004,Azure Stack Hub Administration,Azure Stack Hub,Platform Administration,Production,Azure Stack Hub,Entra ID / AD FS,Yes,Partial,Platform RBAC,Privileged Admin Roles,Limited,Possible,Azure Stack Hub,Critical,Medium,Partial,Azure RBAC + PIM,3,Review privileged role assignments before migration
ID-005,Azure Stack Edge Identity,Azure Stack Edge,Edge Identity,Production,EDGE01,Local Identity / Azure Authentication,Partial,No,Local Roles,Local Administrators,Limited,Possible,FactoryEdge;Azure,High,Medium,Partial,Azure Local + Entra ID,2,Edge authentication requires connectivity review
ID-006,Database Authentication,Azure Stack Hub,Database Identity,Production,DB01,Active Directory;SQL Authentication,No,No,Database Roles,DBA Accounts,Multiple,Yes,ContosoERP;ContosoPortal;ContosoAPI,Critical,High,Not Ready,Entra Authentication / Managed Identity,3,SQL authentication should be reduced where possible
ID-007,Management Access,Azure Stack Hub,Administrative Access,Production,MGMT01,Active Directory,Partial,No,Local/Domain Groups,Infrastructure Admins,Limited,Yes,All Production Systems,High,High,Partial,Azure Bastion + Entra ID + PIM,1,Replace persistent admin access with just-in-time privileged access
ID-008,Monitoring Identity,Azure Stack Hub,Application Identity,Production,MON01,Service Account,No,No,Application Roles,Monitoring Admins,One,Yes,AllServers,Medium,Medium,Partial,Managed Identity,1,Monitoring service account should be replaced where supported
ID-009,Backup Identity,Azure Stack Hub,Application Identity,Production,BACKUP01,Service Account,No,No,Backup Roles,Backup Administrators,One,Yes,AllServers,High,High,Not Ready,Managed Identity / Restricted Service Account,3,Backup account has broad permissions and requires review
ID-010,DNS Identity Dependency,Azure Stack Hub,Infrastructure Dependency,Production,AD01;AD02,Active Directory Integrated DNS,No,No,DNS Admin Groups,DNS Admins,None,No,All Applications,Critical,Medium,Partial,Azure Private DNS + Hybrid DNS,3,DNS dependency must be preserved during phased migration
