Monitoring_ID,Monitoring_Area,Current_Tool,Platform,Environment,Scope,Metrics_Collected,Logs_Collected,Alerting,Dashboarding,Retention,Owner,Business_Criticality,Known_Gap,Migration_Impact,Proposed_Target,Migration_Readiness,Migration_Wave,Notes
MON-001,Infrastructure Monitoring,MON01 Monitoring Platform,Azure Stack Hub,Production,All Servers,CPU;Memory;Disk;Network,System Logs;Application Logs,Yes,Yes,30 Days,IT Operations,High,Monitoring coverage inconsistent,Visibility must continue during migration,Azure Monitor + Log Analytics,Partial,1,Establish Azure monitoring baseline before pilot migration
MON-002,Windows Server Monitoring,MON01 + Windows Event Logs,Azure Stack Hub,Production,Windows Servers,CPU;Memory;Disk;Services,Windows Event Logs,Partial,Partial,30 Days,Infrastructure Team,High,Some alerts are manual,Server health validation required before and after cutover,Azure Monitor Agent,Partial,1,Deploy and validate Azure Monitor Agent
MON-003,Linux Server Monitoring,MON01 + Syslog,Azure Stack Hub,Production,Linux Servers,CPU;Memory;Disk;Processes,Syslog,Partial,Partial,30 Days,Linux Operations,High,Limited centralized alerting,Loss of Linux telemetry may hide migration issues,Azure Monitor Agent + Log Analytics,Partial,1,Validate syslog forwarding
MON-004,Application Monitoring,Application Logs,Azure Stack Hub,Production,ContosoPortal;ContosoERP;ContosoAPI,Availability;Response Time;Errors,Application Logs,Partial,No,14 Days,Application Teams,Critical,No unified APM,Application health must be validated after migration,Application Insights,Not Ready,2,Define application-specific health checks
MON-005,Database Monitoring,SQL Tools + MON01,Azure Stack Hub,Production,DB01,CPU;Memory;Connections;Query Performance,SQL Logs,Yes,Partial,30 Days,Database Team,Critical,No target-state monitoring design,Database performance baselines required before migration,Azure Monitor + SQL Insights,Partial,2,Capture baseline performance before cutover
MON-006,Network Monitoring,Firewall and Network Device Logs,Hybrid,Production,VNets;Subnets;VPN;Firewalls,Latency;Bandwidth;Packet Loss,Firewall Logs;Network Logs,Partial,Partial,30 Days,Network Team,Critical,Hybrid path monitoring limited,Connectivity failures may block migration waves,Network Watcher + Connection Monitor,Not Ready,1,Enable end-to-end connectivity monitoring
MON-007,Identity Monitoring,AD Logs + Entra Logs,Hybrid,Production,AD01;AD02;Microsoft Entra ID,Authentication;Sign-ins;Account Lockouts,Security Logs;Sign-in Logs,Yes,Partial,90 Days,Identity Team,Critical,Legacy AD events not fully centralized,Identity problems can cause migration outages,Microsoft Sentinel + Entra Monitoring,Partial,2,Centralize authentication logs
MON-008,Security Monitoring,Legacy SIEM,Hybrid,Production,Enterprise,Security Events;Threat Alerts,Security Logs,Yes,Yes,90 Days,Security Operations,Critical,Limited cloud-native correlation,Security visibility must remain continuous,Microsoft Sentinel,Partial,2,Migrate detection rules and alert workflows
MON-009,Backup Monitoring,Backup Console,Azure Stack Hub,Production,Backup Jobs,Backup Success;Failure;Capacity,Backup Logs,Yes,Partial,30 Days,Backup Team,High,No centralized alert escalation,Backup failure can invalidate rollback readiness,Azure Monitor + Backup Center,Not Ready,2,Integrate backup alerts before migration
MON-010,Azure Stack Hub Platform Monitoring,Azure Stack Hub Admin Portal,Azure Stack Hub,Production,Platform Infrastructure,Health;Capacity;Alerts,Platform Logs,Yes,Yes,30 Days,Platform Team,Critical,Limited integration with Azure monitoring,Platform issues may affect source migration stability,Azure Monitor / Existing Platform Monitoring,Partial,1,Validate source platform health before each migration wave
MON-011,Azure Stack Edge Monitoring,Azure Stack Edge Management,Azure Stack Edge,Production,EDGE01,Health;CPU;Memory;Storage;Connectivity,Device Logs,Yes,Partial,30 Days,Manufacturing IT,High,Edge monitoring isolated,Connectivity issues may disrupt factory workloads,Azure Monitor + Azure Local Monitoring,Partial,2,Maintain local visibility during disconnected periods
MON-012,Migration Monitoring,None,Hybrid,Migration,Migration Factory,None,None,No,No,None,Migration Team,Critical,No migration-specific observability,Failures may not be detected quickly,Azure Monitor + Log Analytics + Migration Dashboards,Not Ready,1,Create migration telemetry and validation dashboards
