Security_ID,Security_Control,Category,Current_Tool_or_Method,Environment,Scope,Status,Owner,Business_Criticality,Risk_Level,Known_Gap,Migration_Impact,Proposed_Target_Control,Migration_Readiness,Migration_Wave,Notes
SEC-001,Endpoint Detection and Response,Endpoint Security,Microsoft Defender for Endpoint,Production,Servers and Workstations,Partial,Security Operations,Critical,High,Not all servers onboarded,Endpoints must remain protected during migration,Microsoft Defender for Endpoint,Partial,1,Validate agent compatibility before migration
SEC-002,SIEM,Security Monitoring,Legacy SIEM,Production,Infrastructure and Applications,Active,Security Operations,Critical,Medium,Limited Azure integration,Log continuity required during cutover,Microsoft Sentinel,Partial,2,Migrate security logs and alert rules
SEC-003,Vulnerability Management,Vulnerability Management,Periodic Scanning,Production,Servers and Applications,Partial,Security Team,High,High,Scanning not continuous,Migration may expose unsupported workloads,Microsoft Defender Vulnerability Management,Not Ready,1,Complete vulnerability baseline before migration
SEC-004,Patch Management,Configuration Management,WSUS and Manual Linux Patching,Production,Servers,Partial,Infrastructure Team,High,High,Inconsistent patch cycles,Unsupported systems may block migration,Azure Update Manager,Partial,2,Normalize patching before production migration
SEC-005,Secrets Management,Secrets,Configuration Files and Service Accounts,Production,Applications,Weak,Application Teams,Critical,Critical,Credentials stored outside centralized vault,Secrets must not be copied insecurely,Azure Key Vault,Not Ready,2,Inventory and rotate secrets before migration
SEC-006,Encryption Key Management,Cryptography,Local and Application Managed Keys,Production,Databases and Applications,Partial,Security Team,Critical,High,Decentralized key management,Key access must survive migration,Azure Key Vault / Managed HSM,Partial,3,Document key ownership and rotation
SEC-007,Certificates,PKI,Active Directory Certificate Services,Production,Web Applications and Infrastructure,Active,Infrastructure Team,High,Medium,Certificate expiry tracking is manual,Certificates required during cutover,Key Vault Certificates / Enterprise PKI,Partial,2,Create certificate inventory and expiry report
SEC-008,Privileged Access,Identity Security,Domain Admin and Local Admin Groups,Production,Administrative Accounts,Weak,Identity Team,Critical,Critical,Persistent privileged access,High risk during migration activity,Microsoft Entra PIM + JIT,Not Ready,1,Reduce standing privileges before migration
SEC-009,Multi-Factor Authentication,Identity Security,Microsoft Entra MFA,Production,Cloud Users,Partial,Identity Team,Critical,High,Legacy/admin paths lack MFA,Administrative access should require MFA,Microsoft Entra MFA + Conditional Access,Partial,1,Enforce MFA for migration administrators
SEC-010,Network Segmentation,Network Security,NSGs and Firewalls,Production,Application Tiers,Active,Network Team,Critical,Medium,Rules not fully documented,Incorrect rules may break workload dependencies,Azure NSG + Azure Firewall,Partial,2,Validate flow matrix before migration
SEC-011,Security Logging,Audit and Logging,Windows Event Logs;Syslog;Application Logs,Production,All Systems,Partial,Security Operations,High,High,Retention and forwarding inconsistent,Loss of logs during migration affects investigations,Azure Monitor + Log Analytics + Sentinel,Partial,2,Preserve timestamps and centralized logging
SEC-012,Incident Response,Security Operations,Manual IR Procedures,Production,Enterprise,Partial,Security Operations,Critical,High,Migration-specific playbooks missing,Migration failures may become security incidents,Azure-integrated IR Playbooks,Not Ready,3,Create migration incident and escalation procedures
SEC-013,Backup Security,Resilience,Backup Platform Access Controls,Production,Backup Infrastructure,Partial,Backup Team,Critical,High,Backup admin permissions broad,Compromised backup access affects rollback,Restricted RBAC + Immutable Backup,Not Ready,3,Harden backup identities before migration
SEC-014,Data Loss Prevention,Data Protection,Existing DLP Controls,Production,Sensitive Data,Partial,Security and Compliance,High,Medium,Coverage may not include target services,Data controls must follow workloads,Microsoft Purview DLP,Partial,3,Map data classification to target controls
SEC-015,Compliance Monitoring,Governance,Manual Reviews and Existing Policies,Production,Enterprise,Partial,Compliance Team,High,Medium,Limited continuous compliance,Target architecture must maintain compliance evidence,Azure Policy + Defender for Cloud,Partial,3,Translate current controls into Azure Policy
SEC-016,Cloud Security Posture Management,Cloud Security,None / Limited,Production,Azure Resources,Weak,Security Team,High,High,No centralized Azure posture management,New Azure resources require baseline governance,Microsoft Defender for Cloud,Not Ready,1,Enable baseline before migrating workloads
SEC-017,Administrative Jump Access,Privileged Access,MGMT01 Jump Server,Production,Administration,Active,Infrastructure Team,High,High,Static admin jump server model,Migration administrators need secure access,Azure Bastion + PIM,Partial,1,Reduce direct RDP/SSH exposure
SEC-018,Security Baselines,System Hardening,Manual Group Policy and Configuration,Production,Servers,Partial,Security Team,High,High,Baselines differ across systems,Target systems require consistent secure configuration,Azure Policy + Guest Configuration,Partial,2,Capture existing baselines before migration
