Record_ID,Workload_or_Service,Platform,Backup_Tool,Backup_Frequency,Retention,Backup_Location,Encryption,Immutable_Backup,Last_Successful_Backup,Last_Restore_Test,Restore_Test_Result,RTO_Hours,RPO_Hours,DR_Available,DR_Site_or_Target,Replication_Type,Failover_Documented,Failback_Documented,Owner,Business_Criticality,Risk_Level,Migration_Readiness,Migration_Wave,Notes
BDR-001,WEB01;WEB02,Azure Stack Hub,Enterprise Backup,Daily,30 Days,Local Backup Repository,Yes,No,Current,Within 6 Months,Passed,4,1,Partial,Azure,Asynchronous,Yes,Partial,Infrastructure Team,High,Medium,Partial,2,Web tier recovery requires validation after migration
BDR-002,APP01;APP02,Azure Stack Hub,Enterprise Backup,Daily,30 Days,Local Backup Repository,Yes,No,Current,Over 6 Months,Partial,2,0.5,Partial,Azure,Asynchronous,Partial,No,Application Team,Critical,High,Not Ready,3,Application restore testing must be completed before migration
BDR-003,DB01,Azure Stack Hub,SQL Backup + Enterprise Backup,Full Daily + Log Backups,35 Days,Local Backup Repository,Yes,No,Current,Over 6 Months,Not Recently Tested,2,0.5,No,None,None,No,No,Database Team,Critical,Critical,Not Ready,3,Database DR is a migration blocker until tested
BDR-004,AD01;AD02,Azure Stack Hub,System State + VM Backup,Daily,30 Days,Local Backup Repository,Yes,No,Current,Within 12 Months,Passed,1,0.25,Yes,Secondary Domain Controller,AD Replication,Yes,Yes,Identity Team,Critical,Medium,Partial,4,Identity recovery must be coordinated with DNS and authentication
BDR-005,MGMT01,Azure Stack Hub,Enterprise Backup,Daily,14 Days,Local Backup Repository,Yes,No,Current,Not Tested,Unknown,8,4,Partial,Azure Local,Asynchronous,No,No,Infrastructure Team,Medium,Medium,Partial,1,Management server can be rebuilt if necessary
BDR-006,MON01,Azure Stack Hub,Enterprise Backup,Daily,14 Days,Local Backup Repository,Yes,No,Current,Not Tested,Unknown,8,4,Partial,Azure,Asynchronous,No,No,Operations Team,Medium,Medium,Partial,1,Monitoring platform may be replaced by Azure Monitor
BDR-007,BACKUP01,Azure Stack Hub,Backup Platform,Daily Configuration Backup,30 Days,Local Storage,Yes,No,Current,Not Tested,Unknown,4,1,No,None,None,No,No,Backup Team,High,Critical,Not Ready,3,Backup server itself has no tested DR path
BDR-008,EDGE01,Azure Stack Edge,Local Snapshot + Cloud Sync,Daily,14 Days,Edge + Azure,Yes,Partial,Current,Within 6 Months,Passed,2,1,Partial,Azure Local,Asynchronous,Partial,Partial,Manufacturing IT,High,High,Partial,2,Factory workload must continue during connectivity interruptions
BDR-009,ContosoERPDB,Azure Stack Hub,SQL Native Backup,Full Daily + Transaction Log,35 Days,Backup Repository,Yes,No,Current,Over 6 Months,Not Tested,2,0.5,No,Azure SQL MI Planned,Database Replication Planned,No,No,Database Team,Critical,Critical,Not Ready,3,DR design required before ERP migration
BDR-010,ContosoPortalDB,Azure Stack Hub,SQL Native Backup,Daily,30 Days,Backup Repository,Yes,No,Current,Within 6 Months,Passed,4,1,Partial,Azure SQL Database,Geo Backup Planned,Partial,Partial,Database Team,High,Medium,Partial,2,Validate Azure restore and failover procedures
